
[Flag.5.2]

Name,Value,Extent,FlagTreatAs,TakeBit,Manipulate,Access,Sim,OnWrite,HasSP,Label,Desc,Class,FormType,Format / On,Format / Off,ColType,Color / On,Color / Off,Event1 / Mode,Event2 / Mode,Trigger1 / Mode,Trigger2 / Mode,Sec / Access,Sec / Logging
Alarm_Table_0_0,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 0,None,Read Only,,,No,Alarm_Table[0].0,A00.00 Return Guide Sheave Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_1,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 1,None,Read Only,,,No,Alarm_Table[0].1,A00.01 Tower 1 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_2,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 2,None,Read Only,,,No,Alarm_Table[0].2,A00.02 Tower 2 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_3,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 3,None,Read Only,,,No,Alarm_Table[0].3,A00.03 Tower 3 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_4,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 4,None,Read Only,,,No,Alarm_Table[0].4,A00.04 Tower 4 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_5,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 5,None,Read Only,,,No,Alarm_Table[0].5,A00.05 Tower 5 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_6,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 6,None,Read Only,,,No,Alarm_Table[0].6,A00.06 Tower 6 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_7,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 7,None,Read Only,,,No,Alarm_Table[0].7,A00.07 Tower 7 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_8,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 8,None,Read Only,,,No,Alarm_Table[0].8,A00.08 Tower 8 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_9,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 9,None,Read Only,,,No,Alarm_Table[0].9,A00.09 Tower 9 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
