
[Flag.5.2]

Name,Value,Extent,FlagTreatAs,TakeBit,Manipulate,Access,Sim,OnWrite,HasSP,Label,Desc,Class,FormType,Format / On,Format / Off,ColType,Color / On,Color / Off,Event1 / Mode,Event2 / Mode,Trigger1 / Mode,Trigger2 / Mode,Sec / Access,Sec / Logging
CB_Alarm_Active,[PLC1.CB_Alarm_Active],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Slow,[PLC1.CB_Slow],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Lime on Black,Red on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Medium,[PLC1.CB_Medium],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Lime on Black,Red on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Fast,[PLC1.CB_FAST],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Lime on Black,Red on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Lift_Run,[PLC1.CB_RUN],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Lime on Black,Red on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
E_Stop,[PLC1.CB_EStop],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DIC_ES,[PLC1.DI_DIC_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DCC_ES,[PLC1.DI_DCC_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DMR_ES,[PLC1.DI_DMR_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DML_ES,[PLC1.DI_DML_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DER_ES,[PLC1.DI_PD2_ESB],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DAL_ES,[PLC1.DI_DAL_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DDL_ES,[PLC1.DI_DDL_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DDP_ES,[PLC1.DI_DDP_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DGD_ES,[PLC1.Fault_Table_SC[9]],0,Bit Array Little-Endian,Bit 9,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DAP_ES,[PLC1.DI_DAP_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RIC_ES,[PLC1.DI_RIC_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RDP_ES,[PLC1.DI_RDP_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RMR_ES,[PLC1.DI_RMR_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RAL_ES,[PLC1.DI_RAL_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RDL_ES,[PLC1.DI_RDL_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RAP_ES,[PLC1.DI_RAP_ES],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RGD_ES,[PLC1.Fault_Table[9]],0,Bit Array Little-Endian,Bit 21,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DGSHS,[PLC1.DI_DGSHS],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DHSLS,[PLC1.DI_DGSLS],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RGSHS,[PLC1.DI_RGSHS],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RGSLS,[PLC1.DI_RGSLS],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
PD1_CP,[PLC1.Fault_Table[7]],0,Bit Array Little-Endian,Bit 0,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
PD2_CP,[PLC1.Fault_Table[7]],0,Bit Array Little-Endian,Bit 1,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
SD1_CP,[PLC1.Fault_Table[7]],0,Bit Array Little-Endian,Bit 2,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
SD2_CP,[PLC1.Fault_Table[7]],0,Bit Array Little-Endian,Bit 3,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
TD1_CP,[PLC1.Fault_Table[7]],0,Bit Array Little-Endian,Bit 4,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
TD2_CP,[PLC1.Fault_Table[7]],0,Bit Array Little-Endian,Bit 5,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Brittle_Bar_Relay_Tripped,[PLC1.DI_BBE_RLY],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DME_ES_CH1_Fail,[PLC1.DI_DME_CH1],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
DOE_ES_CH1_Fail,[PLC1.DI_DOE_CH1],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
ROS_ES_CH1_Fail,[PLC1.DI_ROS_CH1],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
ROS_ES_CH1_Fail_1,[PLC1.DI_ROS_CH1],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
N_Stop,[PLC1.CB_NStop],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
E_Brake1_Open,[PLC1.CB_EB1P],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Lime on Black,0x4210 on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
E_Brake2_Open,[PLC1.CB_EB2P],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Lime on Black,0x4210 on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
S_Brake1_Open,[PLC1.CB_SBO],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Lime on Black,0x4210 on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
S_Brake2_Open,[PLC1.CB_SB2O],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Lime on Black,0x4210 on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
R_Brake1_Open,[PLC1.CB_RB1P],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Lime on Black,0x4210 on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
R_Brake2_Open,[PLC1.CB_RB2P],,,,None,Read Only,,,No,,,,Two-State,,,Two-State,Lime on Black,0x4210 on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Return_Guide_Sheave_HS_flt,[PLC1.Fault_Table[6]],0,Bit Array Little-Endian,Bit 0,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
TOWER1UP,[PLC1.Fault_Table[6]],0,Bit Array Little-Endian,Bit 1,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
TOWER2UP,[PLC1.Fault_Table[6]],0,Bit Array Little-Endian,Bit 2,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
TOWER3UP,[PLC1.Fault_Table[6]],0,Bit Array Little-Endian,Bit 3,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
TOWER4UP,[PLC1.Fault_Table[6]],0,Bit Array Little-Endian,Bit 4,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
TOWER5UP,[PLC1.Fault_Table[6]],0,Bit Array Little-Endian,Bit 5,None,Read Only,,,No,,,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
